,gridY,gridX,PredictedScore
135,4,7,0.02240264953557352
136,4,8,0.02240264953557352
137,4,9,0.02240264953557352
138,4,10,0.02240264953557352
139,4,11,0.02240264953557352
140,4,12,0.02240264953557352
141,4,13,0.02240264953557352
142,4,14,0.02240264953557352
143,4,15,0.02240264953557352
144,4,16,0.10171308012173035
145,4,17,0.927205160420545
146,4,18,0.26186181698181543
147,4,19,0.9711008739238853
148,4,20,0.9996116123043948
149,4,21,0.9999999999741744
150,4,22,0.999999999756584
151,4,23,1.0
152,4,24,1.0
153,4,25,0.9999999999304439
154,4,26,0.10171308012173035
155,4,27,0.02240264953557352
156,4,28,0.8816861686900727
157,4,29,0.6007647943418796
158,4,30,0.9999957380699067
159,4,31,0.9999998613894744
160,5,0,0.02240264953557352
161,5,1,0.02240264953557352
162,5,2,0.02240264953557352
163,5,3,0.02240264953557352
164,5,4,0.02240264953557352
165,5,5,0.02240264953557352
166,5,6,0.02240264953557352
167,5,7,0.02240264953557352
168,5,8,0.02240264953557352
169,5,9,0.02240264953557352
170,5,10,0.02240264953557352
171,5,11,0.02240264953557352
172,5,12,0.02240264953557352
173,5,13,0.02240264953557352
174,5,14,0.02240264953557352
175,5,15,0.02240264953557352
176,5,16,0.03495349601869527
177,5,17,0.16969884922756642
178,5,18,0.06699419202497117
179,5,19,0.9844006918822403
180,5,20,0.9920857034026593
181,5,21,0.9999988024639533
182,5,22,1.0
183,5,23,1.0
184,5,24,1.0
185,5,25,0.9999995829427516
186,5,26,0.3743181710173492
187,5,27,0.16002470019123824
188,5,28,0.9999998723830862
189,5,29,0.9999392260663139
190,5,30,0.9995654407746558
191,5,31,0.9999999608884795
192,6,0,0.02240264953557352
193,6,1,0.02240264953557352
194,6,2,0.02240264953557352
195,6,3,0.02240264953557352
196,6,4,0.02240264953557352
197,6,5,0.02240264953557352
198,6,6,0.02240264953557352
199,6,7,0.02240264953557352
200,6,8,0.02240264953557352
201,6,9,0.02240264953557352
202,6,10,0.02240264953557352
203,6,11,0.02240264953557352
204,6,12,0.02240264953557352
205,6,13,0.02240264953557352
206,6,14,0.02240264953557352
207,6,15,0.02240264953557352
208,6,16,0.02240264953557352
209,6,17,0.02240264953557352
210,6,18,0.02240264953557352
211,6,19,0.5840328723399315
212,6,20,0.991995818044633
213,6,21,0.9999999999999338
214,6,22,0.9999999999999953
215,6,23,1.0
216,6,24,1.0
217,6,25,0.9999999942864046
218,6,26,0.9999999628633729
219,6,27,0.999998241945741
220,6,28,0.9999999999931926
221,6,29,0.999999572725274
222,6,30,0.9998664726414168
223,6,31,0.999916354074199
224,7,0,0.02240264953557352
225,7,1,0.02240264953557352
226,7,2,0.02240264953557352
227,7,3,0.02240264953557352
228,7,4,0.02240264953557352
229,7,5,0.02240264953557352
230,7,6,0.02240264953557352
231,7,7,0.02240264953557352
232,7,8,0.02240264953557352
233,7,9,0.02240264953557352
234,7,10,0.02240264953557352
235,7,11,0.02240264953557352
236,7,12,0.02240264953557352
237,7,13,0.02240264953557352
238,7,14,0.08262424144291021
239,7,15,0.7168796106518289
240,7,16,0.7329958632247751
241,7,17,0.3775621968980972
242,7,18,0.671246135004859
243,7,19,0.09474921326946759
244,7,20,0.9999999999827724
245,7,21,1.0
246,7,22,1.0
247,7,23,0.9999999762702753
248,7,24,0.999999999980971
249,7,25,1.0
250,7,26,0.9999999955581307
251,7,27,0.9999999999106342
252,7,28,0.9999999991002624
253,7,29,1.0
254,7,30,0.9999999999714788
255,7,31,0.02240264953557352
256,8,0,0.02240264953557352
257,8,1,0.02240264953557352
258,8,2,0.02240264953557352
259,8,3,0.02240264953557352
260,8,4,0.02240264953557352
261,8,5,0.02240264953557352
262,8,6,0.02240264953557352
263,8,7,0.02240264953557352
264,8,8,0.02240264953557352
265,8,9,0.02240264953557352
266,8,10,0.02240264953557352
267,8,11,0.02240264953557352
268,8,12,0.02240264953557352
269,8,13,0.02240264953557352
270,8,14,0.1718423318723811
271,8,15,0.9999984978165813
272,8,16,0.9999999888447783
273,8,17,0.9999999992361883
274,8,18,0.9999892065619732
275,8,19,0.9997970795748017
276,8,20,1.0
277,8,21,1.0
278,8,22,1.0
279,8,23,0.9999999999999576
280,8,24,0.9999999999999996
281,8,25,1.0
282,8,26,1.0
283,8,27,0.9999999999999727
284,8,28,0.9999999999999918
285,8,29,1.0
286,8,30,0.9999993160523569
287,8,31,0.02240264953557352
288,9,0,0.02240264953557352
289,9,1,0.02240264953557352
290,9,2,0.02240264953557352
291,9,3,0.02240264953557352
292,9,4,0.02240264953557352
293,9,5,0.02240264953557352
294,9,6,0.02240264953557352
295,9,7,0.02240264953557352
296,9,8,0.02240264953557352
297,9,9,0.02240264953557352
298,9,10,0.02240264953557352
299,9,11,0.02240264953557352
300,9,12,0.02240264953557352
301,9,13,0.02240264953557352
302,9,14,0.38876253428667673
303,9,15,0.15120890924305552
304,9,16,0.9980502591047379
305,9,17,0.9999999956108045
306,9,18,0.9995837923332956
307,9,19,0.999999995471031
308,9,20,1.0
309,9,21,1.0
310,9,22,1.0
311,9,23,1.0
312,9,24,1.0
313,9,25,1.0
314,9,26,1.0
315,9,27,1.0
316,9,28,1.0
317,9,29,1.0
318,9,30,0.7329775386497063
319,9,31,0.02240264953557352
